Rank,Universitas,Negara,Score,lat,lon
1029Top 5.1%,Gifu University,Japan,70.2,35.4644408,136.7380014
1030Top 5.1%,Qilu University of Technology,China,70.2,36.5578144,116.805231
1031Top 5.1%,University of Mannheim,Germany,70.2,49.483885,8.4708736
1032Top 5.1%,Lappeenranta University of Technology,Finland,70.2,61.0647666,28.0923586
1033Top 5.1%,Tiangong University,China,70.2,39.0642723,117.1053155
1034Top 5.1%,Cadi Ayyad University,Morocco,70.2,31.6660557,-8.0005263
1035Top 5.1%,Pepperdine University,USA,70.2,34.1388191,-118.707359
1036Top 5.1%,Sanford Burnham Prebys Medical Discovery Institute,USA,70.2,32.9011573,-117.2419808
1037Top 5.1%,National Taiwan Normal University,Taiwan,70.2,25.0082321,121.5357715
1038Top 5.1%,Aga Khan University,Pakistan,70.2,24.9232355,67.0620225
1039Top 5.1%,Tokyo University of Agriculture and Technology,Japan,70.2,35.699409,139.5184335
1040Top 5.1%,"University of New England, Australia",Australia,70.2,-30.4901137,151.6393281
1044Top 5.1%,University of Cádiz,Spain,70.2,10.9590649,123.301003
1046Top 5.1%,Hunter College,USA,70.1,40.7683107,-73.964406
1047Top 5.1%,Florida Atlantic University,USA,70.1,26.1194037,-80.1416919
1048Top 5.2%,Ehime University,Japan,70.1,33.843312,132.783016
1049Top 5.2%,Manchester Metropolitan University,United Kingdom,70.1,53.4694788,-2.2379823
1050Top 5.2%,University of South Bohemia,Czech Republic,70.1,48.9766916,14.4507334
1051Top 5.2%,Kazan Federal University,Russia,70.1,55.7903716,49.1207062
1052Top 5.2%,Yıldız Technical University,Turkey,70.1,41.0522441,29.0105277
1053Top 5.2%,Copenhagen Business School,Denmark,70.1,55.677873,12.5216155
1054Top 5.2%,Yamagata University,Japan,70.1,38.2462459,140.3497439
1055Top 5.2%,Okinawa Institute of Science and Technology,Japan,70.1,26.4612095,127.8305983
1056Top 5.2%,Institute of Science and Technology Austria,Austria,70.1,48.3114581,16.2589512
1058Top 5.2%,Northeast Forestry University,China,70.1,45.7186275,126.6287385
1060Top 5.2%,Northeast Agricultural University,China,70.1,45.7276694,126.7179532
1062Top 5.2%,University of Upper Alsace,France,70.0,47.7305753,7.3109492
1063Top 5.2%,Rochester Institute of Technology,USA,70.0,43.0826701,-77.6729322
1064Top 5.2%,Dalian Maritime University,China,70.0,38.8701106,121.5230701
1065Top 5.2%,VetAgro Sup,France,70.0,45.7758756,3.1762061
1066Top 5.2%,Worcester Polytechnic Institute,USA,70.0,42.274315,-71.8084567
1067Top 5.2%,Ramon Llull University,Spain,70.0,41.4117983,2.1335407
1068Top 5.3%,University of Thessaly,Greece,70.0,39.3576383,22.9507464
1069Top 5.3%,Tokyo Women's Medical University,Japan,70.0,35.6983812,139.7203052
1070Top 5.3%,National Taipei University of Technology,Taiwan,70.0,25.0430636,121.5346877
1071Top 5.3%,University of Toyama,Japan,70.0,36.6945671,137.18658
1072Top 5.3%,Hunan Agricultural University,China,70.0,28.1843409,113.0783731
1073Top 5.3%,Luleå University of Technology,Sweden,70.0,65.6182538,22.1383085
1074Top 5.3%,University of Southern Queensland,Australia,70.0,-27.6024301,151.9309937
1075Top 5.3%,SUNY Upstate Medical University,USA,70.0,43.0434746,-76.1383039
1076Top 5.3%,Florida Institute of Technology,USA,70.0,28.064271,-80.623004
1077Top 5.3%,"Asia University, Taiwan",Taiwan,70.0,24.0462096,120.6860308
1078Top 5.3%,Medical University of Gdańsk,Poland,70.0,54.3601742,18.6237828
1079Top 5.3%,Sogang University,South Korea,70.0,37.5521044,126.9409839
1081Top 5.3%,Jiangsu Normal University,China,69.9,34.1974731,117.1733316
1082Top 5.3%,Postgraduate Institute of Medical Education and Research,India,69.9,30.7643681,76.7762778
1083Top 5.3%,University of Canberra,Australia,69.9,-35.2365904,149.0845097
1084Top 5.3%,Koç University,Turkey,69.9,41.203159,29.0728654
1085Top 5.3%,University of Bucharest,Romania,69.9,44.4356445,26.1009263
1086Top 5.3%,Creighton University,USA,69.9,41.2658566,-95.9450555
1087Top 5.3%,University of Maribor,Slovenia,69.9,46.5592325,15.6432937
1088Top 5.3%,Paderborn University,Germany,69.9,51.707521,8.7724141
1089Top 5.4%,"Indian Institute of Science Education and Research, Pune",India,69.9,18.5456168,73.807205
1090Top 5.4%,Nottingham Trent University,United Kingdom,69.9,52.91164,-1.1866048
1091Top 5.4%,Wuhan University of Science and Technology,China,69.9,30.5202172,114.4118463
1092Top 5.4%,University of New Brunswick,Canada,69.9,45.9455202,-66.6401861
1093Top 5.4%,Hebei University,China,69.9,38.8808332,115.5606323
1094Top 5.4%,Duy Tân University,Vietnam,69.9,16.0493715,108.1592924
1095Top 5.4%,Henan University of Science and Technology,China,69.9,34.7086895,113.5030721
1096Top 5.4%,Kagoshima University,Japan,69.9,31.5716047,130.5440871
1097Top 5.4%,Charles Darwin University,Australia,69.9,-12.3713737,130.8684834
1098Top 5.4%,Dublin City University,Ireland,69.8,53.3865964,-6.2589686
1100Top 5.4%,Tomsk Polytechnic University,Russia,69.8,56.4562565,84.9484179
1102Top 5.4%,Shahid Beheshti University,Iran,69.8,35.8025136,51.3932697
1103Top 5.4%,Jichi Medical University,Japan,69.8,36.3953175,139.8545254
1104Top 5.4%,Hassan II University of Casablanca,Morocco,69.8,33.5419806,-7.6596215
1105Top 5.4%,Fordham University,USA,69.8,40.8617344,-73.8860317
1106Top 5.4%,Jadavpur University,India,69.8,22.4995309,88.3715953
1107Top 5.4%,University of North Carolina at Greensboro,USA,69.8,36.0679595,-79.8103669
1108Top 5.4%,University of Kassel,Germany,69.8,51.3037063,9.4144651
1109Top 5.5%,Dankook University,South Korea,69.8,37.319288,127.1289665
1110Top 5.5%,Gaziantep University,Turkey,69.8,37.0353788,37.3129772
1112Top 5.5%,Chuo University,Japan,69.8,35.6403751,139.4045306
1113Top 5.5%,University of Salzburg,Austria,69.8,47.7947829,13.0541597
